country,hazard,rp,fa
Albania,earthquake,20.0,0.0072937292580642
Albania,earthquake,50.0,0.015454328225874399
Albania,earthquake,100.0,0.02667256606549561
Albania,earthquake,250.0,0.052862891412519555
Albania,earthquake,500.0,0.08457829909302525
Albania,earthquake,1000.0,0.12883325832435336
Albania,earthquake,1500.0,0.16131727755212824
Albania,earthquake,2000.0,1.1342739887998302e-15
Albania,flood,20.0,0.013387746100884433
Albania,flood,50.0,0.02993324370372897
Albania,flood,100.0,0.036165262280478616
Albania,flood,250.0,0.06373788416184066
Albania,flood,500.0,0.0744694307506287
Albania,flood,1000.0,0.08679298577863824
Albania,flood,1500.0,0.09273566678944757
Albania,flood,2000.0,5.671369943999151e-16
Albania,surge,20.0,0.0
Albania,surge,50.0,0.0
Albania,surge,100.0,0.0
Albania,surge,250.0,0.0
Albania,surge,500.0,0.0
Albania,surge,1000.0,0.0
Albania,surge,1500.0,0.0
Albania,surge,2000.0,0.0
Albania,tsunami,20.0,0.0
Albania,tsunami,50.0,0.0
Albania,tsunami,100.0,0.0
Albania,tsunami,250.0,0.0
Albania,tsunami,500.0,0.0
Albania,tsunami,1000.0,0.0
Albania,tsunami,1500.0,0.0
Albania,tsunami,2000.0,0.0
Albania,wind,20.0,0.0
Albania,wind,50.0,0.0
Albania,wind,100.0,0.0
Albania,wind,250.0,0.0
Albania,wind,500.0,0.0
Albania,wind,1000.0,0.0
Albania,wind,1500.0,0.0
Albania,wind,2000.0,0.0
Angola,earthquake,20.0,0.00010321893673918453
Angola,earthquake,50.0,0.00033431310482464314
Angola,earthquake,100.0,0.0006368449021519353
Angola,earthquake,250.0,0.0015646903307692914
Angola,earthquake,500.0,0.0031207556459345812
Angola,earthquake,1000.0,0.005998417102073792
Angola,earthquake,1500.0,0.008457390300740523
Angola,earthquake,2000.0,1.1192480679904206e-17
Angola,flood,20.0,0.010734145719746818
Angola,flood,50.0,0.01891592257810956
Angola,flood,100.0,0.020989133638247306
Angola,flood,250.0,0.02323747090584073
Angola,flood,500.0,0.026949438933870883
Angola,flood,1000.0,0.0323344745887418
Angola,flood,1500.0,0.03544695083844765
Angola,flood,2000.0,-3.581593817569346e-16
Angola,surge,20.0,0.0
Angola,surge,50.0,0.0
Angola,surge,100.0,0.0
Angola,surge,250.0,0.0
Angola,surge,500.0,0.0
Angola,surge,1000.0,0.0
Angola,surge,1500.0,0.0
Angola,surge,2000.0,0.0
Angola,tsunami,20.0,0.0
Angola,tsunami,50.0,0.0
Angola,tsunami,100.0,0.0
Angola,tsunami,250.0,0.0
Angola,tsunami,500.0,0.0
Angola,tsunami,1000.0,0.0
Angola,tsunami,1500.0,0.0
Angola,tsunami,2000.0,0.0
Angola,wind,20.0,0.0
Angola,wind,50.0,0.0
Angola,wind,100.0,0.0
Angola,wind,250.0,0.0
Angola,wind,500.0,0.0
Angola,wind,1000.0,0.0
Angola,wind,1500.0,0.0
Angola,wind,2000.0,0.0
Argentina,earthquake,20.0,0.006169060104069342
Argentina,earthquake,50.0,0.012453379090392484
Argentina,earthquake,100.0,0.018567431672946503
Argentina,earthquake,250.0,0.02773316992528684
Argentina,earthquake,500.0,0.03485055547705416
Argentina,earthquake,1000.0,0.042037430696916143
Argentina,earthquake,1500.0,0.04625958351357171
Argentina,earthquake,2000.0,0.0
Argentina,flood,20.0,0.005356663404929797
Argentina,flood,50.0,0.009961694640955544
Argentina,flood,100.0,0.014272146713650858
Argentina,flood,250.0,0.021339251478989876
Argentina,flood,500.0,0.028194830139847065
Argentina,flood,1000.0,0.03674006609349284
Argentina,flood,1500.0,0.039630768380273865
Argentina,flood,2000.0,2.63389624340902e-16
Argentina,surge,20.0,0.0
Argentina,surge,50.0,0.0
Argentina,surge,100.0,0.0
Argentina,surge,250.0,0.0
Argentina,surge,500.0,0.0
Argentina,surge,1000.0,0.0
Argentina,surge,1500.0,0.0
Argentina,surge,2000.0,0.0
Argentina,tsunami,20.0,0.0
Argentina,tsunami,50.0,0.0
Argentina,tsunami,100.0,0.0
Argentina,tsunami,250.0,0.0
Argentina,tsunami,500.0,0.0
Argentina,tsunami,1000.0,0.0
